datetime,open,high,low,close,volume,adj_close
2024-01-01 08:00:00,42492.46,42494.99,42489.99,42494.98,5.4448,42494.98
2024-01-01 08:01:00,42494.98,42525.0,42494.98,42524.99,17.56484,42524.99
2024-01-01 08:02:00,42524.99,42529.91,42466.0,42466.5,29.56796,42466.5
2024-01-01 08:03:00,42466.5,42466.54,42452.58,42453.19,11.05415,42453.19
2024-01-01 08:04:00,42453.19,42460.0,42453.19,42460.0,3.26266,42460.0
2024-01-01 08:05:00,42460.0,42480.0,42459.99,42479.99,13.31286,42479.99
2024-01-01 08:06:00,42479.99,42484.89,42479.99,42484.88,5.12216,42484.88
2024-01-01 08:07:00,42484.89,42484.89,42484.88,42484.88,3.09389,42484.88
2024-01-01 08:08:00,42484.88,42484.89,42484.88,42484.88,1.28687,42484.88
2024-01-01 08:09:00,42484.89,42484.89,42484.88,42484.89,4.55793,42484.89
2024-01-01 08:10:00,42484.89,42510.91,42484.88,42510.91,12.32262,42510.91
2024-01-01 08:11:00,42510.91,42520.64,42510.9,42520.64,3.13447,42520.64
2024-01-01 08:12:00,42520.63,42522.02,42520.63,42522.01,3.51792,42522.01
2024-01-01 08:13:00,42522.02,42522.02,42502.84,42502.84,15.38364,42502.84
2024-01-01 08:14:00,42502.84,42514.28,42502.8,42514.28,8.54557,42514.28
2024-01-01 08:15:00,42514.28,42514.31,42514.27,42514.31,2.96086,42514.31
2024-01-01 08:16:00,42514.31,42514.31,42510.46,42510.46,7.47777,42510.46
2024-01-01 08:17:00,42510.46,42514.31,42507.98,42514.3,4.47319,42514.3
2024-01-01 08:18:00,42514.31,42514.31,42510.0,42510.01,2.76185,42510.01
2024-01-01 08:19:00,42510.0,42514.22,42510.0,42514.21,5.7684,42514.21
2024-01-01 08:20:00,42514.22,42514.22,42514.21,42514.21,1.97484,42514.21
2024-01-01 08:21:00,42514.21,42526.01,42514.21,42526.0,6.8606,42526.0
2024-01-01 08:22:00,42526.0,42526.01,42526.0,42526.0,1.58627,42526.0
