datetime,open,high,low,close,volume,adj_close
2024-03-24 07:00:00,64218.93,64221.93,64100.31,64141.99,109.30509,64141.99
2024-03-24 07:15:00,64141.99,64170.0,64083.0,64128.0,137.31523,64128.0
2024-03-24 07:30:00,64127.99,64395.2,64027.77,64395.2,262.81234,64395.2
2024-03-24 07:45:00,64395.19,64583.44,64270.0,64583.43,377.92704,64583.43
2024-03-24 08:00:00,64583.44,65000.99,64476.0,64894.96,677.58649,64894.96
2024-03-24 08:15:00,64894.95,64961.42,64658.19,64712.01,426.28546,64712.01
2024-03-24 08:30:00,64712.01,64952.0,64650.0,64951.99,272.00408,64951.99
2024-03-24 08:45:00,64951.99,65259.42,64842.87,65244.0,450.11375,65244.0
2024-03-24 09:00:00,65244.0,65251.99,64931.17,64938.66,309.07258,64938.66
2024-03-24 09:15:00,64938.65,65080.0,64800.0,64884.0,282.1021,64884.0
2024-03-24 09:30:00,64884.0,65157.24,64854.0,64929.21,194.73038,64929.21
2024-03-24 09:45:00,64929.21,65036.15,64830.82,64880.02,141.11564,64880.02
2024-03-24 10:00:00,64880.01,65020.0,64872.0,64925.14,170.35051,64925.14
2024-03-24 10:15:00,64925.14,65185.92,64898.81,65166.4,241.2572,65166.4
2024-03-24 10:30:00,65166.39,65200.0,65000.0,65170.0,226.12311,65170.0
2024-03-24 10:45:00,65170.0,65368.66,65090.0,65098.01,225.12608,65098.01
2024-03-24 11:00:00,65098.01,65126.99,64958.0,65106.05,266.312,65106.05
2024-03-24 11:15:00,65106.05,65163.99,65051.85,65051.86,115.9812,65051.86
2024-03-24 11:30:00,65051.85,65147.12,64971.99,65119.9,162.79345,65119.9
2024-03-24 11:45:00,65119.9,65349.56,65119.9,65334.01,328.77873,65334.01
2024-03-24 12:00:00,65334.0,65656.56,65177.28,65213.99,745.3788,65213.99
2024-03-24 12:15:00,65213.99,65544.53,65213.99,65491.64,355.88984,65491.64
2024-03-24 12:30:00,65491.65,65660.24,65420.0,65519.5,281.8374,65519.5
2024-03-24 12:45:00,65519.49,65783.88,65495.62,65646.77,322.73303,65646.77
2024-03-24 13:00:00,65646.76,65825.0,65450.02,65558.79,434.84559,65558.79
2024-03-24 13:15:00,65558.72,65723.43,65418.0,65478.0,306.58208,65478.0
2024-03-24 13:30:00,65478.0,65517.99,65282.63,65373.99,288.23624,65373.99
2024-03-24 13:45:00,65374.0,65440.0,65262.8,65357.71,278.61237,65357.71
2024-03-24 14:00:00,65357.72,65542.0,65315.32,65541.99,228.53748,65541.99
2024-03-24 14:15:00,65541.99,65925.19,65541.98,65768.01,674.48907,65768.01
2024-03-24 14:30:00,65768.02,65869.41,65516.0,65625.91,402.41148,65625.91
2024-03-24 14:45:00,65625.91,65682.9,65540.0,65649.99,172.52066,65649.99
2024-03-24 15:00:00,65650.0,65750.07,65433.22,65511.81,261.58675,65511.81
2024-03-24 15:15:00,65511.82,65700.0,65455.6,65699.99,203.85097,65699.99
2024-03-24 15:30:00,65699.99,65700.0,65512.98,65565.77,113.92611,65565.77
2024-03-24 15:45:00,65565.78,65737.67,65565.77,65673.36,277.11852,65673.36
2024-03-24 16:00:00,65673.36,65838.88,65596.0,65613.99,373.63666,65613.99
